Camera,Parameter,Statistic,File1_Value,File2_Value,Difference,File1,File2
CAM_BACK_LEFT,x,Mean,1.042854011200353,-0.85634104,-1.899195051200353,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,x,Std_Dev,0.006541928234088,0.0,-0.006541928234088,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,x,Min,1.03569100218,-0.85634104,-1.89203204218,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,x,Max,1.055,-0.85634104,-1.91134104,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,x,Median,1.04852047718,-0.85634104,-1.90486151718,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,y,Mean,0.4830985561936272,-0.00716842,-0.4902669761936272,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,y,Std_Dev,0.005707307146733,0.0,-0.005707307146733,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,y,Min,0.441,-0.00716842,-0.44816842,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,y,Max,0.484795032713,-0.00716842,-0.491963452713,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,y,Median,0.483058131052,-0.00716842,-0.490226551052,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,z,Mean,1.5758664294360236,1.57249624,-0.0033701894360236295,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,z,Std_Dev,0.0147824891718075,0.0,-0.0147824891718075,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,z,Min,1.56210154484,1.57249624,0.010394695160000023,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,z,Max,1.605,1.57249624,-0.03250375999999999,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,z,Median,1.56210154484,1.57249624,0.010394695160000023,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,pitch,Mean,0.0005133123938877,0.0109039211700175,0.0103906087761298,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,pitch,Std_Dev,0.0032220963028729,0.0,-0.0032220963028729,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,pitch,Min,-0.002471878830598,0.0109039211700175,0.013375800000615501,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,pitch,Max,0.007679448708775,0.0109039211700175,0.0032244724612425007,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,pitch,Median,-0.002471878830598,0.0109039211700175,0.013375800000615501,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,yaw,Mean,-1.5669654785486289,1.5644901720670188,3.1314556506156475,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,yaw,Std_Dev,0.018108453617972,0.0,-0.018108453617972,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,yaw,Min,-1.5868073350278946,1.5644901720670188,3.151297507094913,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,yaw,Max,-1.550141288553733,1.5644901720670188,3.1146314606207515,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,yaw,Median,-1.550141288553733,1.5644901720670188,3.1146314606207515,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
CAM_BACK_LEFT,fov,Mean,64.99646911411767,110.0,45.00353088588233,nuscene_trainval_camera_parameters_statistics,seed4d_camera_parameters_statistics
