Camera,Parameter,Statistic,File1_Value,File2_Value,Difference,File1,File2
CAM_FRONT,x,Mean,0.81154658,-1.7164921760559082,-2.528038756055908,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,x,Std_Dev,0.0,0.0,0.0,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,x,Min,0.81154658,-1.7164921760559082,-2.528038756055908,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,x,Max,0.81154658,-1.7164921760559082,-2.528038756055908,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,x,Median,0.81154658,-1.7164921760559082,-2.528038756055908,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,y,Mean,-0.00925438,-7.525243282318115,-7.5159889023181154,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,y,Std_Dev,0.0,0.0,0.0,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,y,Min,-0.00925438,-7.525243282318115,-7.5159889023181154,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,y,Max,-0.00925438,-7.525243282318115,-7.5159889023181154,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,y,Median,-0.00925438,-7.525243282318115,-7.5159889023181154,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,z,Mean,1.50286755,143.91200256347656,142.40913501347657,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,z,Std_Dev,0.0,0.0,0.0,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,z,Min,1.50286755,143.91200256347656,142.40913501347657,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,z,Max,1.50286755,143.91200256347656,142.40913501347657,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,z,Median,1.50286755,143.91200256347656,142.40913501347657,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,pitch,Mean,-0.0021846059014136,3.131330729200311,3.1335153351017246,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,pitch,Std_Dev,0.0,0.0,0.0,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
CAM_FRONT,pitch,Min,-0.0021846059014136,3.131330729200311,3.1335153351017246,seed4d_camera_parameters_statistics,carla_camera_parameters_statistics
