Dataset,Sensor,X,Y,Z,File_Path
static,0,-0.321579,-7.529991,152.190002,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,1,-0.422589,-14.284564,134.816696,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,2,-0.523599,2.429679,143.064072,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,3,-0.624609,-15.462358,148.271606,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,4,-0.725619,-5.789610,132.350906,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,5,-0.826630,-2.169562,150.616776,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,6,-0.927639,-17.169399,139.598740,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,7,-1.028650,1.322270,137.592468,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,8,-1.129660,-10.949160,151.552505,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,9,-1.230670,-11.329771,132.984833,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,10,-1.331680,1.481022,146.406784,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,11,-1.432690,-17.012556,145.164322,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,12,-1.533700,-2.552901,133.601685,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,13,-1.634710,-5.401390,151.872192,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,14,-1.735721,-15.628417,136.496506,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,15,-1.836730,2.272587,140.919724,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,16,-1.937741,-13.889742,149.735977,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,17,-2.038751,-7.937048,132.346954,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,18,-2.139761,-0.593766,149.160141,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,19,-2.240771,-17.333632,141.736679,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,20,-2.341781,-0.010474,135.915009,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,21,-2.442791,-8.833117,151.875168,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,22,-2.543801,-13.098518,134.186676,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,23,-2.644811,1.959227,144.324753,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,24,-2.745821,-15.947649,147.013504,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,25,-2.846832,-4.589161,132.971832,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,26,-2.947842,-3.482994,150.949249,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,27,-3.048851,-16.405037,138.475754,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,28,-3.149862,1.495636,138.943665,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,29,-3.250872,-11.978222,150.653610,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,30,-3.351882,-9.959062,132.974960,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,31,-3.452893,0.458270,147.326385,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,32,-3.553902,-16.856466,143.792847,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,33,-3.654912,-1.757157,134.735931,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,34,-3.755923,-6.754560,151.549698,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,35,-3.856932,-14.396603,135.837753,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,36,-3.957942,1.785300,142.235443,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,37,-4.058953,-14.399829,148.421982,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,38,-4.159963,-6.677853,132.995407,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,39,-4.260973,-1.973260,149.511459,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,40,-4.361983,-16.529699,140.552780,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,41,-4.462993,0.173704,137.342148,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,42,-4.564003,-9.923469,150.923447,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,43,-4.665013,-11.642569,134.176178,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,44,-4.766024,0.869412,145.303970,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,45,-4.867033,-15.779841,145.548416,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,46,-4.968044,-3.737785,134.188156,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,47,-5.069054,-4.936928,150.600555,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,48,-5.170063,-15.075642,137.767838,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,49,-5.271074,0.965549,140.365677,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,50,-5.372084,-12.528262,149.226318,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,51,-5.473094,-8.589992,133.684814,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,52,-5.574105,-1.050071,147.705566,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,53,-5.675114,-15.970669,142.497818,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,54,-5.776124,-1.560248,136.306976,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,55,-5.877135,-7.954579,150.493942,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,56,-5.978144,-12.782604,135.832855,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,57,-6.079155,0.567773,143.319778,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,58,-6.180165,-14.204841,146.786026,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,59,-6.281175,-5.729341,134.364349,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,60,-6.382185,-3.609039,149.110626,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,61,-6.483195,-15.021831,139.759583,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,62,-6.584205,-0.436885,138.954697,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,63,-6.685215,-10.542705,149.291245,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,64,-6.786225,-10.077153,134.998322,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,65,-6.887236,-0.870486,145.731613,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,66,-6.988245,-14.746549,144.054672,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,67,-7.089256,-3.518214,136.017151,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,68,-7.190266,-6.333956,149.358734,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,69,-7.291276,-13.178079,137.771576,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,70,-7.392287,-0.479951,141.640533,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,71,-7.493296,-12.287374,147.282532,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,72,-7.594306,-7.463041,135.326843,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,73,-7.695317,-3.015972,147.215088,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,74,-7.796326,-14.141486,141.544708,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,75,-7.897336,-2.311293,138.269165,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,76,-7.998347,-8.707731,148.489227,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,77,-8.099356,-10.851648,136.854004,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,78,-8.200367,-1.598713,143.846664,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,79,-8.301376,-12.905355,144.915512,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,80,-8.402388,-5.455371,136.676697,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,81,-8.503397,-5.388156,147.525772,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,82,-8.604408,-12.581511,139.765747,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,83,-8.705418,-2.313371,140.609482,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,84,-8.806427,-10.228090,146.742767,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,85,-8.907438,-8.581901,137.172379,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
static,86,-9.008448,-3.505618,145.078369,/app/data/seed4d/static/Town02/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/sphere_invisible/transforms/transforms.json
