Dataset,Sensor,X,Y,Z,Roll_deg,Pitch_deg,Yaw_deg,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,File_Path
data_analysis,0,-1.502868,0.811547,-0.009254,0.125,-89.545,90.000,0.498560,-0.497464,0.502523,0.501435,/app/code/seed4d/data_analysis/data_seed4d/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,1,-1.507845,0.667533,0.497015,-179.480,-33.014,-90.000,0.678869,-0.677045,0.203987,0.197830,/app/code/seed4d/data_analysis/data_seed4d/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,2,-1.508522,0.651907,-0.497363,0.212,-34.762,90.000,0.212478,-0.209980,0.675210,0.674428,/app/code/seed4d/data_analysis/data_seed4d/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,3,-1.572496,-0.856341,-0.007168,-0.625,89.639,90.000,-0.501148,0.495679,0.504284,0.498849,/app/code/seed4d/data_analysis/data_seed4d/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,4,-1.575867,0.142854,-0.483099,-0.042,18.590,90.000,-0.114466,0.113955,0.697864,0.697780,/app/code/seed4d/data_analysis/data_seed4d/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,5,-1.556650,0.139059,0.473027,-179.659,21.710,-90.000,-0.694056,0.694847,0.131099,0.135227,/app/code/seed4d/data_analysis/data_seed4d/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,0,-1.502868,1.711547,-0.009254,0.125,-89.545,90.000,0.498560,-0.497464,0.502523,0.501435,/app/code/seed4d/data_analysis/data_nuscenes_adjusted_x+0.9/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,1,-1.507845,1.567533,0.497015,-179.480,-33.014,-90.000,0.678869,-0.677045,0.203987,0.197830,/app/code/seed4d/data_analysis/data_nuscenes_adjusted_x+0.9/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,2,-1.508522,1.551907,-0.497363,0.212,-34.762,90.000,0.212478,-0.209980,0.675210,0.674428,/app/code/seed4d/data_analysis/data_nuscenes_adjusted_x+0.9/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,3,-1.572496,0.056341,-0.007168,-0.625,89.639,90.000,-0.501148,0.495679,0.504284,0.498849,/app/code/seed4d/data_analysis/data_nuscenes_adjusted_x+0.9/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,4,-1.575867,1.042854,-0.483099,-0.042,18.590,90.000,-0.114466,0.113955,0.697864,0.697780,/app/code/seed4d/data_analysis/data_nuscenes_adjusted_x+0.9/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,5,-1.556650,1.039059,0.473027,-179.659,21.710,-90.000,-0.694056,0.694847,0.131099,0.135227,/app/code/seed4d/data_analysis/data_nuscenes_adjusted_x+0.9/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
transforms_transformed_no_ego_0a0d6b8c,0,-1.494913,1.722006,-0.004755,50.491,-89.085,39.996,0.502620,-0.492235,0.501587,0.503476,/app/code/pixelsplat_Sim2Real/debug_transforms/transforms_transformed_no_ego_0a0d6b8c.json
transforms_transformed_no_ego_0a0d6b8c,1,-1.517494,1.580826,0.499079,179.754,-32.421,-88.925,0.684910,-0.673022,0.197802,0.197013,/app/code/pixelsplat_Sim2Real/debug_transforms/transforms_transformed_no_ego_0a0d6b8c.json
transforms_transformed_no_ego_0a0d6b8c,2,-1.550509,1.059452,0.467203,-179.290,22.521,-89.877,-0.693369,0.693594,0.133931,0.142228,/app/code/pixelsplat_Sim2Real/debug_transforms/transforms_transformed_no_ego_0a0d6b8c.json
transforms_transformed_no_ego_0a0d6b8c,3,-1.567943,0.055246,-0.010788,50.950,89.169,140.557,-0.493168,0.502211,0.503374,0.501183,/app/code/pixelsplat_Sim2Real/debug_transforms/transforms_transformed_no_ego_0a0d6b8c.json
transforms_transformed_no_ego_0a0d6b8c,4,-1.562102,1.048520,-0.483058,1.136,18.580,89.851,-0.107067,0.121198,0.695755,0.699838,/app/code/pixelsplat_Sim2Real/debug_transforms/transforms_transformed_no_ego_0a0d6b8c.json
transforms_transformed_no_ego_0a0d6b8c,5,-1.506960,1.575256,-0.500519,1.145,-34.659,89.720,0.216855,-0.204397,0.675435,0.674524,/app/code/pixelsplat_Sim2Real/debug_transforms/transforms_transformed_no_ego_0a0d6b8c.json
