Dataset,Sensor,X,Y,Z,Roll_deg,Pitch_deg,Yaw_deg,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,File_Path
transforms_original,0,1.700791,0.015946,1.510958,89.677,-0.046,-89.674,0.499802,-0.497371,-0.499780,0.503032,/app/code/Sim2Real/utils/output_plots/transforms_original.json
transforms_original,1,1.550848,-0.493405,1.495748,89.218,0.519,-146.404,-0.206035,0.671361,0.682451,-0.202694,/app/code/Sim2Real/utils/output_plots/transforms_original.json
transforms_original,2,1.014878,-0.480568,1.562395,89.068,0.619,159.201,0.122810,0.690496,0.700431,0.132401,/app/code/Sim2Real/utils/output_plots/transforms_original.json
transforms_original,3,0.028326,0.003451,1.579103,90.959,0.229,89.861,0.503787,0.504550,0.494185,0.497402,/app/code/Sim2Real/utils/output_plots/transforms_original.json
transforms_original,4,1.035691,0.484795,1.590970,89.083,-0.215,18.600,0.692419,0.112033,0.116483,0.703162,/app/code/Sim2Real/utils/output_plots/transforms_original.json
transforms_original,5,1.523878,0.494631,1.509328,90.140,0.121,-34.839,0.675727,-0.211228,-0.212140,0.673627,/app/code/Sim2Real/utils/output_plots/transforms_original.json
transforms_transformed,0,-1.510958,1.700791,-0.015946,-8.384,-89.671,98.061,0.496960,-0.500190,0.500212,0.502621,/app/code/Sim2Real/utils/output_plots/transforms_transformed.json
transforms_transformed,1,-1.495748,1.550848,0.493405,178.873,-33.594,-89.377,0.678576,-0.675236,0.198820,0.209909,/app/code/Sim2Real/utils/output_plots/transforms_transformed.json
transforms_transformed,2,-1.562395,1.014878,0.480568,179.303,20.798,-89.338,0.700259,-0.690668,-0.132573,-0.122638,/app/code/Sim2Real/utils/output_plots/transforms_transformed.json
transforms_transformed,3,-1.579103,0.028326,-0.003451,-57.850,89.732,31.190,-0.496175,0.502560,0.495413,0.505777,/app/code/Sim2Real/utils/output_plots/transforms_transformed.json
transforms_transformed,4,-1.590970,1.035691,-0.484795,-0.845,18.600,90.227,-0.119630,0.108887,0.700015,0.695565,/app/code/Sim2Real/utils/output_plots/transforms_transformed.json
transforms_transformed,5,-1.509328,1.523878,-0.494631,0.225,-34.839,89.852,0.212734,-0.210634,0.674221,0.675133,/app/code/Sim2Real/utils/output_plots/transforms_transformed.json
data_analysis,0,-1.502868,0.811547,-0.009254,0.125,-89.545,90.000,0.498560,-0.497464,0.502523,0.501435,/app/code/seed4d/data_analysis/data_seed4d/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,1,-1.507845,0.667533,0.497015,-179.480,-33.014,-90.000,0.678869,-0.677045,0.203987,0.197830,/app/code/seed4d/data_analysis/data_seed4d/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,2,-1.508522,0.651907,-0.497363,0.212,-34.762,90.000,0.212478,-0.209980,0.675210,0.674428,/app/code/seed4d/data_analysis/data_seed4d/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,3,-1.572496,-0.856341,-0.007168,-0.625,89.639,90.000,-0.501148,0.495679,0.504284,0.498849,/app/code/seed4d/data_analysis/data_seed4d/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,4,-1.575867,0.142854,-0.483099,-0.042,18.590,90.000,-0.114466,0.113955,0.697864,0.697780,/app/code/seed4d/data_analysis/data_seed4d/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,5,-1.556650,0.139059,0.473027,-179.659,21.710,-90.000,-0.694056,0.694847,0.131099,0.135227,/app/code/seed4d/data_analysis/data_seed4d/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,0,-1.502868,1.711547,-0.009254,0.125,-89.545,90.000,0.498560,-0.497464,0.502523,0.501435,/app/code/seed4d/data_analysis/data_nuscenes_adjusted_x+0.9/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,1,-1.507845,1.567533,0.497015,-179.480,-33.014,-90.000,0.678869,-0.677045,0.203987,0.197830,/app/code/seed4d/data_analysis/data_nuscenes_adjusted_x+0.9/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,2,-1.508522,1.551907,-0.497363,0.212,-34.762,90.000,0.212478,-0.209980,0.675210,0.674428,/app/code/seed4d/data_analysis/data_nuscenes_adjusted_x+0.9/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,3,-1.572496,0.056341,-0.007168,-0.625,89.639,90.000,-0.501148,0.495679,0.504284,0.498849,/app/code/seed4d/data_analysis/data_nuscenes_adjusted_x+0.9/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,4,-1.575867,1.042854,-0.483099,-0.042,18.590,90.000,-0.114466,0.113955,0.697864,0.697780,/app/code/seed4d/data_analysis/data_nuscenes_adjusted_x+0.9/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
data_analysis,5,-1.556650,1.039059,0.473027,-179.659,21.710,-90.000,-0.694056,0.694847,0.131099,0.135227,/app/code/seed4d/data_analysis/data_nuscenes_adjusted_x+0.9/Town01/ClearNoon/vehicle.audi.tt/spawn_point_1/step_0/ego_vehicle/nuscenes_invisible/transforms/transforms_ego.json
