Camera,Parameter,Mean,Std_Dev,Min,Max,Median
CAM_FRONT,x,0.81154658,0.0,0.81154658,0.81154658,0.81154658
CAM_FRONT,y,-0.00925438,0.0,-0.00925438,-0.00925438,-0.00925438
CAM_FRONT,z,1.50286755,0.0,1.50286755,1.50286755,1.50286755
CAM_FRONT,pitch,-0.002184605901413669,0.0,-0.002184605901413669,-0.002184605901413669,-0.002184605901413669
CAM_FRONT,yaw,4.720323669231367,0.0,4.720323669231367,4.720323669231367,4.720323669231367
CAM_FRONT,fov,90.0,0.0,90.0,90.0,90.0
CAM_FRONT,roll,0.0,0.0,0.0,0.0,0.0
CAM_FRONT_RIGHT,x,0.66753281,0.0,0.66753281,0.66753281,0.66753281
CAM_FRONT_RIGHT,y,0.49701484,0.0,0.49701484,0.49701484,0.49701484
CAM_FRONT_RIGHT,z,1.50784545,0.0,1.50784545,1.50784545,1.50784545
CAM_FRONT_RIGHT,pitch,-0.00908179325149176,0.0,-0.00908179325149176,-0.00908179325149176,-0.00908179325149176
CAM_FRONT_RIGHT,yaw,3.717790651712274,0.0,3.717790651712274,3.717790651712274,3.717790651712274
CAM_FRONT_RIGHT,fov,90.0,0.0,90.0,90.0,90.0
CAM_FRONT_RIGHT,roll,0.0,0.0,0.0,0.0,0.0
CAM_FRONT_LEFT,x,0.65190701,0.0,0.65190701,0.65190701,0.65190701
CAM_FRONT_LEFT,y,-0.49736302,0.0,-0.49736302,-0.49736302,-0.49736302
CAM_FRONT_LEFT,z,1.50852209,0.0,1.50852209,1.50852209,1.50852209
CAM_FRONT_LEFT,pitch,-0.003702805724416052,0.0,-0.003702805724416052,-0.003702805724416052,-0.003702805724416052
CAM_FRONT_LEFT,yaw,5.676476373000298,0.0,5.676476373000298,5.676476373000298,5.676476373000298
CAM_FRONT_LEFT,fov,90.0,0.0,90.0,90.0,90.0
CAM_FRONT_LEFT,roll,0.0,0.0,0.0,0.0,0.0
CAM_BACK,x,-0.85634104,0.0,-0.85634104,-0.85634104,-0.85634104
CAM_BACK,y,-0.00716842,0.0,-0.00716842,-0.00716842,-0.00716842
CAM_BACK,z,1.57249624,0.0,1.57249624,1.57249624,1.57249624
CAM_BACK,pitch,0.010903921170017539,0.0,0.010903921170017539,0.010903921170017539,0.010903921170017539
CAM_BACK,yaw,1.5644901720670188,0.0,1.5644901720670188,1.5644901720670188,1.5644901720670188
CAM_BACK,fov,90.0,0.0,90.0,90.0,90.0
CAM_BACK,roll,0.0,0.0,0.0,0.0,0.0
CAM_BACK_LEFT,x,0.14285401,0.0,0.14285401,0.14285401,0.14285401
CAM_BACK_LEFT,y,-0.48309856,0.0,-0.48309856,-0.48309856,-0.48309856
CAM_BACK_LEFT,z,1.57586643,0.0,1.57586643,1.57586643,1.57586643
CAM_BACK_LEFT,pitch,0.0007322564726739024,0.0,0.0007322564726739024,0.0007322564726739024,0.0007322564726739024
CAM_BACK_LEFT,yaw,0.32445679467339517,0.0,0.32445679467339517,0.32445679467339517,0.32445679467339517
CAM_BACK_LEFT,fov,90.0,0.0,90.0,90.0,90.0
CAM_BACK_LEFT,roll,0.0,0.0,0.0,0.0,0.0
CAM_BACK_RIGHT,x,0.1390594,0.0,0.1390594,0.1390594,0.1390594
CAM_BACK_RIGHT,y,0.47302748,0.0,0.47302748,0.47302748,0.47302748
CAM_BACK_RIGHT,z,1.5566498,0.0,1.5566498,1.5566498,1.5566498
CAM_BACK_RIGHT,pitch,-0.005943942229067065,0.0,-0.005943942229067065,-0.005943942229067065,-0.005943942229067065
CAM_BACK_RIGHT,yaw,2.762686748075455,0.0,2.762686748075455,2.762686748075455,2.762686748075455
CAM_BACK_RIGHT,fov,90.0,0.0,90.0,90.0,90.0
CAM_BACK_RIGHT,roll,0.0,0.0,0.0,0.0,0.0
