,psnr,ssim,lpips,drmse,compute_time
td0_rend0,12.790187244885136,0.27877112317175545,0.6771837625796404,0.5947158582968376,0.40200275325584667
,,,,,
td1_rend0,12.7893837689518,0.27877775681111766,0.677202558467333,0.5950540156825495,0.4005141184725959
td1_rend1,14.5662520379559,0.36527092366387315,0.6086555101504757,21.578168414629587,2.4254105548467684
,,,,,
td2_rend2,14.38972063283243,0.35792216406198296,0.6246785957079667,21.619836209890607,3.610418908871137
td2_rend4,14.016559904496345,0.35458990285922526,0.6504176711476237,20.557345955309753,0.48899314720073395
,,,,,
td3_rend3,14.19653750492804,0.3545294278516444,0.6392486203832373,21.344441617558978,0.46891269197478924
,,,,,
td4_rend1,14.514917476006634,0.3635610880302312,0.6095423763323445,21.803931518439303,0.41351045422665095
td4_rend2,14.348959914856465,0.35632776302562874,0.6253211644420806,21.830325163871763,0.44859341610092884
td4_rend4,14.034494861786854,0.35625610012133385,0.6504683899824909,20.371552676360196,1.0101476601276937
td4_rend6,13.62447516612721,0.356974094380902,0.6711582951061738,18.573000808015216,0.510633235465667
td4_rend8,13.314887499452233,0.35936547005967473,0.6884421656611756,16.661375623892646,0.5251395554590146
