Dataset,Type,Camera,X,Y,Z,Roll_deg,Pitch_deg,Yaw_deg,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,File_Path
dataset_seed4d.py,Context,0,-1.502900,0.811550,-0.009254,-179.875,-89.545,90.000,0.501436,0.502522,0.497465,-0.498560,dataloader_seed4d.txt
dataset_seed4d.py,Context,1,-1.507800,0.667530,0.497010,0.520,-33.014,-90.000,-0.197830,-0.203987,-0.677044,0.678870,dataloader_seed4d.txt
dataset_seed4d.py,Context,2,-1.508500,0.651910,-0.497360,-179.788,-34.762,90.000,0.674428,0.675210,0.209979,-0.212480,dataloader_seed4d.txt
dataset_seed4d.py,Context,3,-1.572500,-0.856340,-0.007168,179.375,89.639,90.000,0.498849,0.504284,-0.495679,0.501148,dataloader_seed4d.txt
dataset_seed4d.py,Context,4,-1.575900,0.142850,-0.483100,179.958,18.590,90.000,0.697781,0.697864,-0.113954,0.114465,dataloader_seed4d.txt
dataset_seed4d.py,Context,5,-1.556600,0.139060,0.473030,0.341,21.709,-90.000,0.135228,0.131098,-0.694848,0.694056,dataloader_seed4d.txt
dataset_seed4d.py,Target,0,-9.898000,1.899300,0.626400,101.536,71.747,90.000,0.181759,0.705892,0.041425,0.683348,dataloader_seed4d.txt
dataset_seed4d.py,Target,1,-0.706060,-2.591300,9.639400,176.525,-15.046,90.000,0.703504,0.697891,0.113790,-0.071287,dataloader_seed4d.txt
dataset_seed4d.py,Target,2,-4.140400,-1.637200,8.999700,156.169,-10.310,90.000,0.702191,0.675953,0.207572,0.083240,dataloader_seed4d.txt
dataset_seed4d.py,Target,3,-4.847500,8.410600,-2.593100,-28.342,72.865,-90.000,0.267873,0.546435,-0.448786,0.654404,dataloader_seed4d.txt
dataset_seed4d.py,Target,4,-9.797000,-1.193900,-2.131500,-75.859,-29.254,-90.000,0.561412,-0.279719,0.649428,-0.429904,dataloader_seed4d.txt
dataset_seed4d.py,Target,5,-0.504040,-9.839100,-1.740400,-2.316,-79.969,-90.000,-0.465229,-0.443331,-0.550867,0.532508,dataloader_seed4d.txt
dataset_seed4d.py,Target,6,-3.736400,0.045443,-9.315300,-21.324,0.280,-90.000,-0.129127,0.132520,-0.694578,0.695216,dataloader_seed4d.txt
dataset_seed4d.py,Target,7,-3.433300,-7.454100,-5.772800,-19.471,-52.244,-90.000,-0.414204,-0.199483,-0.678385,0.573092,dataloader_seed4d.txt
dataset_seed4d.py,Target,8,-6.261600,-2.430400,7.491800,141.964,-17.974,90.000,0.696295,0.624311,0.332021,0.123170,dataloader_seed4d.txt
